abreviacion;palabra
cl\.;calle (también c. y c/)
"Cmdt\.\; Cmte\.";comandante (también Comte. y Cte.)
Cnel\.;coronel (también Col.)
cód\.;código
col\.;colección || colonia (‘barrio’) [Méx.] || columna
Col\.;colegio || coronel (también Cnel.)
Comod\.;comodoro
Comp\.;compañía (también C.ª, Cía. y C.ía)
Comte\.;comandante (también Cmdt., Cmte. y Cte.)
"coord\.\; coord\.\ª";coordinador, coordinadora
C\. P\.;código postal (cf. D. P.)
crec\.;creciente
cta\.;cuenta (también c/)
cta\. cte\.;cuenta corriente (también c/c)
Cte\.;comandante (también Cmdt., Cmte. y Comte.)
"ctv\.\; ctvo\.";centavo (también c. y cent.)
c\/u;cada uno
"D\.\; D\.\ª";don, doña (también Dña.)
d\. C\.;después de Cristo (también d. de C.)
"dcho\.\;  dcha\.";derecho, derecha
d\. de C\.;después de Cristo (también d. C.)
d\. de J\. C\.;después de Jesucristo (también d. J. C.)
del\.;delegación
D\. E\. P\.;descanse en paz
depto\.;departamento (también dpto.)
desct\.\º;descuento (también dto.)
D\. F\.;Distrito Federal
d\/f;días fecha
diag\.;diagonal (‘calle’) [Arg.]
dicc\.;diccionario
"Dir\.\; Dir\.a";director, directora || dirección
d\. J\. C\.;después de Jesucristo (también d. de J. C.)
Dña\.;doña (también D.ª)
doc\.;documento
D\. P\.;distrito postal
dpto\.;departamento (también depto.)
"Dr\.\; Dra\. o Dr\.\ª";doctor, doctora
dto\.;descuento (también desct.º)
e\/;envío
e\/c;en cuenta
ed\.;edición || editorial (también edit.) || editor, -ra
edit\.;editorial (también ed.)
edo\.;estado (‘división territorial dentro de una nación’)
EE\. UU\.;Estados Unidos
ef\.;efectos
ej\.;ejemplo || ejemplar (sustantivo masculino)
Em\.a;eminencia
Emmo\.;eminentísimo
e\. p\. d\.;en paz descanse
etc\.;etcétera
Exc\.\ª;excelencia
excl\.;exclusive
"Excmo\.\;  Excma\.";excelentísimo, exelentísima
f\.;folio (también fol. y f.º)
f\.\ª;factura (también fra.)
fasc\.;fascículo
F\. C\.;ferrocarril
fca\.;fábrica
Fdo\.;firmado
FF\. AA\.;Fuerzas Armadas
fig\.;figura
"f\.\º\; fol\.";folio (también f.)
Fr\.;fray || frey
fra\.;factura (también f.ª)
"Gdor\.\; Gdora\.\; Gdor\.\ª\; Gob\.";gobernador, gobernadora
"g\. p\.\; g\/p";giro postal
Gral\.;general
g\. v\.;gran velocidad
"H\.\; Hno\.\; Hna\.";hermano, hermana
I\.;ilustre (también Il. e Iltre.)
"ib\.\; ibíd\.";ibídem (lat.: ‘en el mismo lugar’)
íd\.;ídem (lat.: ‘el mismo, lo mismo’)
igl\.\ª;iglesia
Il\.;ilustre (también I. e Iltre.)
"Ilmo\.\; Ilma\.";ilustrísimo, ilustrísima
Iltre\.;ilustre (también I. e Il.)
imp\.;imprenta (también impr.)
impr\.;imprenta (también imp.) || impreso
"impto\.\; imp\.to";impuesto
incl\.;inclusive
Ing\.;ingeniero, ingeniera
Inst\.;instituto
"izdo\.\; izda\.\; izq\.\; izqdo\.\; izqda\.";izquierdo, izquierda
J\. C\.;Jesucristo (cf. Jhs. y Xto.)
Jhs\.;Jesús (referido a Cristo)
JJ\. OO\.;Juegos Olímpicos
k\. o\.;knock-out (ingl.: ‘fuera de combate’)
L\/;letra (de cambio)
"Lcdo\.\; Lcda\.\;";licenciado, licenciada
"Ldo\.\; Lda\.\; Lic\.";
Ltd\.;limited (ingl.: ‘limitado, -da’)
"Ltdo\.\; Ltda\.";limitado (cf. Ltd.)
m\.;meridies (lat: ‘mediodía’)
M\.;"majestad || madre (‘tratamiento religioso’; también M.e)"
"Magfco\.\; Magfca\.";magnífico, magnífica
máx\.;máximo
M\.e;"madre (‘tratamiento religioso’; también M.)"
mín\.;mínimo
m\. n\.;moneda nacional
Mons\.;monseñor
mr\.;mártir
ms\.;manuscrito
n\.;nota
N\.\ª S\.\ª;"Nuestra Señora (referido a la Virgen; también Ntra. Sra., Ntr.ª Sr.ª)"
N\. B\.;"nota bene (lat.: ‘observa bien’; equivale a nótese bien)"
N\. del T\.;nota del traductor
"n\.\º\; nro\.";número (también núm.)
N\. S\.;Nuestro Señor (referido a Jesucristo)
N\. S\. J\. C\.;Nuestro Señor Jesucristo
"Ntra\. Sra\.\; Ntr\.\ª Sr\.\ª";"Nuestra Señora (referido a la Virgen; también N.ª S.ª)"
núm\.;número (también n.º y nro.)
Ob\.;obispo
ob\. cit\.;obra citada
óp\. cit\.;ópere citato (lat.: ‘en la obra citada’)
p\.;página (también pg. y pág.)
P\.;papa || padre (‘tratamiento religioso’)
p\. a\.;por ausencia || por autorización (también P. A.)
pág\.;página (también p. y pg.)
párr\.;párrafo
Pat\.;patente
Pbro\.;presbítero (también Presb.)
p\. d\.;porte(s) debido(s)
P\. D\.;posdata
pdo\.;pasado
"Pdte\.\; Pdta\.";presidente, presidenta
p\. ej\.;por ejemplo
pg\.;página (también p. y pág.)
"pl\.\; plza\.";plaza (también pza.)
p\. m\.;post merídiem (lat.: ‘después del mediodía’)
P\. M\.;policía militar
Pnt\.;pontífice
"p\. o\.\; P\. O\.\; p\/o";por orden
p\.\º;paseo
p\. p\.;por poder || porte(s) pagado(s)
"ppal\.\; pral\.";principal
Presb\.;presbítero (también Pbro.)
"Prof\.\; Prof\.\ª";profesor, profesora
pról\.;prólogo
prov\.;provincia
P\. S\.;"post scríptum (lat.: ‘después de lo escrito’; equivale a P. D.)"
P\. V\. P\.;precio de venta al público
pza\.;plaza (también pl. y plza.)
q\. e\. p\. d\.;"que en paz descanse (p. us.; cf. D. E. P., e. p. d. y R. I. P.)"
R\.;reverendo, reverenda (también Rdo., Rev., Rvd. y Rvdo.)
R\. D\.;Real Decreto [Esp.] (cf. R. O.) || República Dominicana
"Rdo\.\; Rda\.";reverendo, reverenda
reg\.;registro
Rep\.;república
Rev\.;reverendo, reverenda (también Rdo., Rvd., Rvdo. y R.)
R\. I\. P\.;"requiéscat in pace (lat.: ‘descanse en paz’; equivalente a D. E. P., e. p. d. y q. e. p. d.)"
r\.\º;recto
R\. O\.;Real Orden [Esp.]
r\. p\. m\.;revoluciones por minuto
RR\. HH\.;recursos humanos
Rte\.;remitente
"Rvd\.\; Rvdo\.\; Rvda\.";reverendo, -da (también R., Rdo. y Rev.)
"Rvdmo\.\; Rvdma\.";reverendísimo, reverendísima
s\.;siglo || siguiente (también sig.)
S\.;san
S\.\ª;señoría || señora
S\. A\.;sociedad anónima || su alteza
S\. A\. I\.;su alteza imperial
S\. A\. R\.;su alteza real
S\. A\. S\.;su alteza serenísima
Sdad\.;sociedad (también Soc.)
S\. D\. M\.;su divina majestad
S\. E\.;su excelencia
"Ser\.mo \; Ser\.ma";serenísimo, serenísima
s\. e\. u o\.;salvo error u omisión
"s\. f\.\; s\/f";sin fecha
Sgto\.;sargento
sig\.;siguiente (también s.)
S\. L\.;sociedad limitada (cf. S. A.)
S\. M\.;su majestad
"s\. n\.\; s\/n";sin número (referido al inmueble de una vía pública)
Soc\.;sociedad (también Sdad.)
S\. P\.;servicio público
"Sr\.\; Sra\.\; Sr\.\ª\; S\.\ª";señor, señora
S\. R\. C\.;se ruega contestación
S\. R\. M\.;su real majestad
Srta\.;señorita
s\. s\.;seguro servidor
S\. S\.;su santidad
Sto\. \(fem\. Sta\.\);santo (cf. S.)
t\.;tomo
"tel\.\; teléf\.";teléfono (también tfno.)
test\.o;testigo
tfno\.;teléfono (también tel. y teléf.)
tít\.;título
trad\.;traducción || traductor, -ra
Tte\.;teniente
"U\.\; Ud\. \(pl\. irreg\.: Uds\.\)";usted (también V. y Vd.)
Univ\.;universidad
v\.;véase  || verso
V\.;"usted (p. us.; también U., Ud. y Vd.) || venerable"
v\/;visto
V\. A\.;vuestra alteza
Valmte\.;vicealmirante
V\. A\. R\.;vuestra alteza real
Vd\. \(pl\. irreg\.: Vds\.\);"usted (p. us.; también U., Ud. y V.)"
"Vdo\.\; Vda\.";viudo, viuda
V\. E\.;vuestra excelencia
vid\.;"vide (lat.: ‘mira’; equivale a véase)"
V\. M\.;vuestra majestad
v\.\º;vuelto
V\. O\.;versión original
V\.\º B\.\º;visto bueno
vol\.;volumen
V\. O\. S\.;versión original subtitulada
vs\.;versus (ingl.: ‘contra’)
V\. S\.;vuestra señoría
V\. S\. I\.;vuestra señoría ilustrísima
"vto\.\;  vta\.";vuelto, vuelta
"vv\. aa\.\; VV\. AA\.";varios autores
W\. C\.;water closet (ingl.: ‘servicio, retrete’)
Xto\.;Cristo
Abg\., Abg\.do;Abogado
Admr\.;Administrador
Adtvo\.;Administrativo
Alc\.;Alcalde
Almte\.;Almirante
Anl\.;Analista
Arq\.;Arquitecto
Arz\., Arzbpo\.;Arzobispo
Ases\.;Asesor
Biol\., Blgo\.;Biólogo
Brig\.;Brigadier
Cap\.;Capitán
Card\., Cnal\.;Cardenal
Cient\.;Científico
Clg\.;Clérigo
Cmdt\., Cmte\., Comte\., Cte\.;Comandante
Com\.;Comodoro
Comp\.;Compositor
Cde\.;Conde
Contralmte\.;Contralmirante
Coord\.;Coordinador
Cnel\., Col\.;Coronel
Diác\.;Diácono
Dir\.;Director
Dr\.\/Dra\.;Doctor/a
Duq\.;Duque
Econ\., Ec\.;Economista
Ed\.;Editor
Enf\., Enfro\. \/ Enf\., Enfra\.;Enfermero/a
Fr\.;Fray
Gte\.;Gerente
Gob\., Gdor\. \/ Gdora\.;Gobernador\/a
Gral\.;General
Ing\.;Ingeniero
Jr\.;Junior
Jz\.;Juez
Mtro\.;Maestro
Mons\.;Monseñor
Not\.;Notario
Nut\.;Nutricionista
Ob\., Obpo\.;Obispo
Od\., Odont\.;Odontólogo
Pdte\. \/ Pdta\.;Presidente
Prof\.;Profesor
Psic\.;Psicólogo
Psiq\.;Psiquiatra
Quím\.;Químico
Red\.;Redactor
Repr\.;Representante
Rev\., Rvd\., Rvdo\., Rdo\., R\. \/ Rev\., Rvd\., Rvda\., Rda\., R\.;Reverendo/a
Sgto\.;Sargento
Sec\. \/ Secret\.\ª;Secretario/a
Soc\.;Sociólogo
Superv\.;Supervisor
Tte\.;Teniente
Téc\., Tnco\.;Técnico
Tnlgo\.;Tecnólogo
Trad\.;Traductor
Transcr\.;Transcriptor
Vet\.;Veterinario
